Id,CreationDate,PostId,RelatedPostId,LinkTypeId
108,2010-07-21T14:47:33.983,395,173,1
145,2010-07-23T16:30:41.780,548,539,1
151,2010-07-24T09:11:01.413,536,590,1
217,2010-07-26T20:12:15.600,375,30,1
263,2010-07-27T16:00:22.133,769,31,1
264,2010-07-27T16:00:22.133,769,6,1
272,2010-07-27T17:19:27.610,790,298,1
281,2010-07-27T23:22:51.830,715,7,1
338,2010-07-28T19:36:09.993,834,577,1
360,2010-07-29T19:01:22.583,614,170,1
401,2010-07-30T11:47:06.390,1034,974,1
479,2010-08-01T12:08:34.573,222,146,1
496,2010-08-02T21:27:41.760,1143,1130,1
505,2010-08-03T19:39:42.113,590,536,1
558,2010-08-04T11:21:07.663,886,6,1
559,2010-08-04T11:21:07.663,886,372,1
583,2010-08-04T15:57:30.243,1205,856,1
587,2010-08-04T22:37:49.237,1194,6,1
619,2010-08-05T18:31:33.497,896,614,1
624,2010-08-05T22:09:43.680,1323,1066,1
661,2010-08-09T10:49:46.040,1289,53,1
668,2010-08-09T12:45:05.183,1437,1289,1
681,2010-08-10T01:27:11.730,1385,1268,1
704,2010-08-10T21:20:40.357,740,165,1
716,2010-08-11T14:06:20.297,1501,7,1
717,2010-08-11T14:06:20.297,1501,973,1
726,2010-08-11T14:59:38.030,1207,1142,1
737,2010-08-11T18:57:07.273,1536,1052,1
740,2010-08-11T20:39:16.567,1521,6,1
754,2010-08-12T07:09:59.977,1413,1583,1
776,2010-08-12T15:18:28.103,1583,1412,1
781,2010-08-12T18:12:39.307,1272,47,1
831,2010-08-13T11:42:08.187,672,22,1
836,2010-08-13T17:42:32.780,1601,1444,1
837,2010-08-13T17:42:32.780,1601,1386,1
855,2010-08-14T23:07:11.867,1580,1149,1
875,2010-08-16T18:27:32.170,1749,1123,1
880,2010-08-17T05:27:03.127,396,257,1
895,2010-08-17T21:28:16.327,1780,124,1
901,2010-08-18T12:41:14.320,887,841,1
909,2010-08-18T16:19:04.013,1813,575,1
914,2010-08-18T21:49:36.953,1454,899,1
939,2010-08-21T18:18:12.163,1352,1815,1
955,2010-08-22T14:07:19.293,1955,1645,1
1006,2010-08-25T06:02:31.447,924,920,1
1068,2010-08-26T15:40:23.110,2093,1687,1
1069,2010-08-26T15:40:23.110,2093,1112,1
1073,2010-08-27T06:56:54.743,2149,1709,1
1082,2010-08-27T10:41:43.200,2086,1961,1
1083,2010-08-27T10:41:43.200,2086,539,1
1095,2010-08-27T15:15:50.083,2154,1228,1
1131,2010-08-29T12:04:51.257,490,880,1
1134,2010-08-29T17:15:22.407,2140,1169,1
1135,2010-08-29T19:18:56.103,2067,2024,1
1140,2010-08-30T13:44:51.767,354,118,1
1143,2010-08-30T15:02:01.403,145,7,1
1153,2010-08-31T14:23:30.797,2171,224,1
1154,2010-08-31T14:23:30.797,2171,216,1
1156,2010-08-31T17:12:55.620,2223,1963,1
1169,2010-09-01T11:31:31.880,1676,73,1
1210,2010-09-01T17:15:29.080,2282,1676,1
1211,2010-09-01T17:15:29.080,2282,2269,1
1224,2010-09-02T07:13:57.983,880,490,1
1283,2010-09-06T11:41:43.853,2401,2374,1
1307,2010-09-06T18:57:27.430,2385,1289,1
8809,2010-09-07T22:20:44.323,2410,1292,1
10783,2010-09-08T06:40:30.180,2423,414,1
17469,2010-09-10T10:48:47.040,26,118,1
18942,2010-09-10T19:50:39.143,652,421,1
22399,2010-09-12T15:48:10.697,2476,369,1
23659,2010-09-13T09:18:19.837,2597,183,1
26940,2010-09-14T14:13:03.457,1223,1142,1
28839,2010-09-15T16:53:28.983,1799,859,1
28840,2010-09-15T16:53:28.983,1799,1324,1
29591,2010-09-15T22:20:18.017,1995,1799,1
30954,2010-09-16T12:31:55.487,2670,665,1
31174,2010-09-16T14:17:36.383,1460,1444,1
32441,2010-09-16T23:06:06.000,1016,577,1
33045,2010-09-17T06:40:34.527,2742,1812,1
34666,2010-09-17T21:30:52.633,2602,2516,1
34884,2010-09-18T02:43:41.680,1761,485,1
35150,2010-09-18T08:21:24.000,2245,534,1
36817,2010-09-19T09:28:15.713,2787,276,1
36818,2010-09-19T09:28:15.713,2787,166,1
36867,2010-09-19T09:34:20.513,1815,1352,1
36868,2010-09-19T09:34:20.513,1815,2770,1
38374,2010-09-19T22:46:17.957,2662,2512,1
38448,2010-09-19T23:57:17.407,2248,203,1
38449,2010-09-19T23:57:17.407,2248,10,1
38533,2010-09-20T00:29:57.060,195,411,1
38800,2010-09-20T04:14:54.947,2615,2572,1
39025,2010-09-20T07:19:51.623,2846,2597,1
41963,2010-09-21T09:22:29.980,2894,1807,1
